날짜,시간,국가,경제지표,실제,예상,이전,중요도
11.07 (Thu), 00:30,us,EIA 가솔린 생산량 변동 Nov/01,,,,하
11.07 (Thu), 00:30,us,EIA 정제소 원유 가동량 변동 Nov/01,,,,하
11.07 (Thu), 00:30,us,EIA 원유 수입량 변동 Nov/01,,,,하
11.07 (Thu), 00:30,us,EIA 원유 재고 변동 Nov/01,,,,중
11.07 (Thu), 00:30,us,EIA 쿠싱 원유 재고량 변동 Nov/01,,,,하
11.07 (Thu), 00:30,us,EIA 증류유 생산량 변동 Nov/01,,,,하
11.07 (Thu), 00:30,us,EIA 증류유 재고 변동 Nov/01,,,,하
11.06 (Wed), 22:45,us,S&P글로벌 서비스업 구매관리자지수(PMI) 최종 Oct,,,,중
11.06 (Wed), 22:45,us,S&P글로벌 종합 구매관리자지수(PMI) 최종 Oct,,,54,중
11.06 (Wed), 21:00,us,MBA 모기지 신청건수 (전주비) Nov/01,,,,하
11.06 (Wed), 21:00,us,MBA 30년 모기지 금리 Nov/01,,,,하
11.06 (Wed), 21:00,us,MBA 모기지 재융자 지수 Nov/01,,,,하
11.06 (Wed), 21:00,us,MBA 구매 지수 Nov/01,,,,하
11.06 (Wed), 21:00,us,MBA 모기지 시장 지수 Nov/01,,,,하
11.06 (Wed), 18:30,gb,S&P 글로벌 건설 PMI Oct,,,57.2,중
11.06 (Wed), 06:30,us,API 원유 재고 변화 Nov/01,,,,중
11.06 (Wed), 03:00,us,10년물 국채 입찰 ,,,,중
11.06 (Wed), 01:00,us,총 가계 부채 Q3,,,$17.8T,하
11.05 (Tue), 23:00,us,ISM 서비스업 구매관리자지수(PMI) Oct,,,54.9,상
11.05 (Tue), 23:00,us,ISM 서비스업 경제활동 지수 Oct,,,59.9,하
11.05 (Tue), 23:00,us,ISM 서비스 고용 Oct,,,48.1,하
11.05 (Tue), 23:00,us,ISM 서비스업 신규주문 지수 Oct,,,,하
11.05 (Tue), 23:00,us,ISM 서비스업 물가 지수 Oct,,,59.4,하
11.05 (Tue), 22:55,us,Redbook 지수(전년비) Nov/02,,,,하
11.05 (Tue), 22:30,us,수출액 Sep,,,$271.8B,중
11.05 (Tue), 22:30,us,무역수지 Sep,,,,중
11.05 (Tue), 22:30,us,수입액 Sep,,,$342.2B,중
11.05 (Tue), 19:30,us,LMI 물류 관리자 지수 Oct,,,58.6,하
11.05 (Tue), 19:00,gb,10년 만기 국채 입찰 ,,,4.170%,하
11.05 (Tue), 18:30,gb,S&P 글로벌 서비스 PMI 최종 Oct,,,52.4,중
11.05 (Tue), 18:30,gb,S&P 글로벌 종합 PMI 최종 Oct,,,52.6,하
11.05 (Tue), 18:00,gb,신차 판매 대수 (전년비) Oct,,,1.0%,하
11.05 (Tue), 10:45,cn,Caixin 종합 구매관리자지수(PMI) Oct,,,49.3,하
11.05 (Tue), 10:45,cn,Caixin 서비스업 구매관리자지수(PMI) Oct,,,50.3,중
11.05 (Tue), 09:01,gb,BRC 소매 판매 (전년비) Oct,,,,중
11.05 (Tue), 09:00,us,대통령 선거 ,,,,상
11.05 (Tue), 08:00,kr,인플레이션율 (전년비) Oct,,,,중
11.05 (Tue), 08:00,kr,인플레이션율 (전월비) Oct,,,,하
11.05 (Tue), 06:00,kr,외환 보유고 Oct,,,$419.97B,하
11.05 (Tue), 03:00,us,3년 만기 국채 입찰 ,,,3.878%,하
11.05 (Tue), 00:30,us,3개월 만기 국채 입찰 ,,,,하
11.05 (Tue), 00:30,us,6개월 만기 국채 입찰 ,,,,하
11.05 (Tue), 00:00,us,총 차량 판매 Oct,,,15.8M,하
11.05 (Tue), 00:00,us,공장주문 (전월비) Sep,,,-0.2%,중
11.05 (Tue), 00:00,us,비운송 공장주문 (전월비) Sep,,,-0.1%,하
11.02 (Sat), 02:00,us,베이커 휴즈 전체 시추기 가동건수 Nov/01,,,,하
11.02 (Sat), 02:00,us,베이커 휴즈 원유 시추기 가동건수 Nov/01,,,,하
11.01 (Fri), 23:00,us,건설 지출 (전월비) Sep,,,-0.1%,하
11.01 (Fri), 23:00,us,ISM 제조업 물가 지수 Oct,,,48.3,하
11.01 (Fri), 23:00,us,ISM 제조업 신규주문 지수 Oct,,,46.1,하
11.01 (Fri), 23:00,us,ISM 제조업 구매관리자지수(PMI) Oct,,,,상
11.01 (Fri), 23:00,us,ISM 제조업 고용 지수 Oct,,,43.9,중
11.01 (Fri), 22:45,us,S&P글로벌 제조업 구매관리자지수(PMI) 최종 Oct,,,,중
11.01 (Fri), 21:30,us,시간당 평균 임금 (전년비) ,,,4%,중
11.01 (Fri), 21:30,us,실업률 Oct,,,4.1%,상
11.01 (Fri), 21:30,us,비농업 고용수 (전월비) Oct,,,254K,상
11.01 (Fri), 21:30,us,시간당 평균 임금 Oct,,,34.2,하
11.01 (Fri), 21:30,us,U-6 실업률 ,,,7.7%,하
11.01 (Fri), 21:30,us,제조업 고용수 (전월비) Oct,,,-7K,하
11.01 (Fri), 21:30,us,경제활동참가율 Oct,,,62.7%,중
11.01 (Fri), 21:30,us,시간당 평균 임금 (전월비) Oct,,,0.4%,중
11.01 (Fri), 21:30,us,공무원 고용수 (전월비) Oct,,,31K,하
11.01 (Fri), 21:30,us,비농업 민간 고용수 (전월비) Oct,,,223K,하
11.01 (Fri), 18:30,gb,제조업 PMI Oct,,,,중
11.01 (Fri), 16:00,gb,전국 주택가격지수 (전월비) Oct,,,0.7%,중
11.01 (Fri), 16:00,gb,전국 주택가격지수 (전년비) Oct,,,3.2%,중
11.01 (Fri), 10:45,cn,Caixin 제조업 구매관리자지수(PMI) Oct,,,49.3,상
11.01 (Fri), 09:30,kr,S&P글로벌 제조업 구매관리자지수(PMI) Oct,,,48.3,중
11.01 (Fri), 09:00,kr,무역수지 Oct,,,$6.66B,하
11.01 (Fri), 09:00,kr,수출액 (전년비) Oct,,,7.5%,중
11.01 (Fri), 09:00,kr,수입액 (전년비) Oct,,,2.2%,하
11.01 (Fri), 05:30,us,연준 대차대조표 Oct/30,,,,하
11.01 (Fri), 01:00,us,15년 만기 모기지 금리 Oct/30,,,,하
11.01 (Fri), 01:00,us,30년 만기 모기지 금리 Oct/30,,,,하
11.01 (Fri), 00:30,us,4주 만기 국채 입찰 ,,,,하
11.01 (Fri), 00:30,us,8주 만기 국채 입찰 ,,,,하
10.31 (Thu), 23:30,us,EIA 천연가스재고량 변화 Oct/25,,,,하
10.31 (Thu), 22:45,us,시카고 구매관리자지수(PMI) Oct,,,46.6,중
10.31 (Thu), 21:30,us,계속 실업수당 청구건수 Oct/19,,,,하
10.31 (Thu), 21:30,us,실업수당 청구건수 4주 평균 Oct/26,,,,하
10.31 (Thu), 21:30,us,신규 실업수당 신청건수 Oct/26,,,,중
10.31 (Thu), 21:30,us,개인소비 (전월비) Sep,,,0.2%,상
10.31 (Thu), 21:30,us,개인소득 (전월비) Sep,,,0.2%,상
10.31 (Thu), 21:30,us,개인소비지출 물가지수 (전월비) Sep,,,0.1%,중
10.31 (Thu), 21:30,us,개인소비지출 물가지수 (전년비) Sep,,,2.2%,중
10.31 (Thu), 21:30,us,근원 개인소비지출 물가지수 (전년비) Sep,,,2.7%,하
10.31 (Thu), 21:30,us,근원 개인소비지출 물가지수 (전월비) Sep,,,0.1%,상
10.31 (Thu), 21:30,us,고용비용지수 (전분기비) Q3,,,0.9%,중
10.31 (Thu), 21:30,us,고용비용지수-임금 (전분기비) Q3,,,0.9%,중
10.31 (Thu), 21:30,us,고용비용지수-복리후생 (전분기비) Q3,,,1%,중
10.31 (Thu), 20:30,us,챌린저 해고 건수 Oct,,,72.821K,하
10.31 (Thu), 19:00,gb,30년 녹색 국채 경매 ,,,,하
10.31 (Thu), 10:30,cn,NBS 종합 구매관리자지수(PMI) Oct,,,50.4,하
10.31 (Thu), 10:30,cn,NBS 제조업 구매관리자지수(PMI) Oct,,,49.8,상
10.31 (Thu), 10:30,cn,NBS 비제조업 구매관리자지수(PMI) Oct,,,50,중
10.31 (Thu), 08:00,kr,소매 판매 (전월비) Sep,,,1.7%,하
10.31 (Thu), 08:00,kr,산업생산 (전월비) Sep,,,,하
10.31 (Thu), 08:00,kr,산업생산 (전년비) Sep,,,,하
10.31 (Thu), 00:30,us,17주 만기 국채 입찰 ,,,,하
10.30 (Wed), 23:30,us,EIA 가솔린 생산량 변동 Oct/25,,,,하
10.30 (Wed), 23:30,us,EIA 난방유 재고 변동 Oct/25,,,,하
10.30 (Wed), 23:30,us,EIA 정제소 원유 가동량 변동 Oct/25,,,,하
10.30 (Wed), 23:30,us,EIA 원유 수입량 변동 Oct/25,,,,하
10.30 (Wed), 23:30,us,EIA 원유 재고 변동 Oct/25,,,,중
10.30 (Wed), 23:30,us,EIA 쿠싱 원유 재고량 변동 Oct/25,,,,하
10.30 (Wed), 23:30,us,EIA 증류유 생산량 변동 Oct/25,,,,하
10.30 (Wed), 23:30,us,EIA 증류유 재고 변동 Oct/25,,,,하
10.30 (Wed), 23:30,us,EIA 가솔린 재고 변동 Oct/25,,,,중
10.30 (Wed), 23:00,us,잠정주택판매지수 (전년비) Sep,,,,중
10.30 (Wed), 23:00,us,잠정주택판매지수 (전월비) Sep,,,,중
10.30 (Wed), 21:30,us,도매재고 잠정치 (전월비) Sep,,,0.1%,중
10.30 (Wed), 21:30,us,소매 재고 잠정치(자동차 제외) (전월비) Sep,,,,중
10.30 (Wed), 21:30,us,상품 무역수지 속보치 Sep,,,$-94.26B,중
10.30 (Wed), 21:30,us,개인소비지출 물가지수 속보치 (전분기비) Q3,,,2.5%,하
10.30 (Wed), 21:30,us,근원 개인소비지출 물가지수 속보치 (전분기비) Q3,,,2.8%,하
10.30 (Wed), 21:30,us,실질 소비지출 속보치 (전분기비) Q3,,,2.8%,하
10.30 (Wed), 21:30,us,GDP 성장률 속보치 (전분기비) Q3,,,3%,상
10.30 (Wed), 21:30,us,GDP 판매액 속보치 (전분기비) Q3,,,1.9%,하
10.30 (Wed), 21:30,us,GDP 물가지수 속보치 (전분기비) Q3,,,2.5%,중
10.30 (Wed), 21:30,us,국채 재발행 발표 ,,,,하
10.30 (Wed), 21:30,gb,2024년 가을 예산 ,,,,중
10.30 (Wed), 21:15,us,ADP 고용변화 Oct,,,143K,중
10.30 (Wed), 20:00,us,MBA 30년 모기지 금리 Oct/25,,,,하
10.30 (Wed), 20:00,us,MBA 모기지 신청건수 (전주비) Oct/25,,,,하
10.30 (Wed), 20:00,us,MBA 모기지 재융자 지수 Oct/25,,,,하
10.30 (Wed), 20:00,us,MBA 구매 지수 Oct/25,,,,하
10.30 (Wed), 20:00,us,MBA 모기지 시장 지수 Oct/25,,,,하
10.30 (Wed), 05:30,us,API 원유 재고 변화 Oct/25,,,,중
10.30 (Wed), 02:00,us,7년 만기 국채 입찰 ,,,,하
10.30 (Wed), 02:00,us,2년 만기 FRN 입찰 ,,,,하
10.30 (Wed), 00:30,us,52주 만기 국채 입찰 ,,,3.780%,하
10.29 (Tue), 23:30,us,댈러스 연은 서비스 수익 지수 Oct,,,10.1,하
10.29 (Tue), 23:30,us,댈라스 연은 서비스 지수 Oct,,,-2.6,하
10.29 (Tue), 23:00,us,구인·이직 보고서(JOLTs) 직장 이탈수 Sep,,,3.084M,하
10.29 (Tue), 23:00,us,구인·이직 보고서(JOLTs) 채용수 Sep,,,8.04M,상
10.29 (Tue), 23:00,us,컨퍼런스보드 소비자 신뢰지수 Oct,,,98.7,중
10.29 (Tue), 22:00,us,주택가격 지수 (전년비) Aug,,,,하
10.29 (Tue), 22:00,us,S&P/케이스실러 주택가격지수 (전월비) Aug,,,,중
10.29 (Tue), 22:00,us,S&P/케이스실러 주택가격지수 (전년비) Aug,,,,중
10.29 (Tue), 22:00,us,주택가격 지수 (전월비) Aug,,,0.1%,하
10.29 (Tue), 22:00,us,주택가격 지수 Aug,,,,하
10.29 (Tue), 21:55,us,Redbook 지수(전년비) Oct/26,,,,하
10.29 (Tue), 19:00,gb,5년 만기 국채 입찰 ,,,,하
10.29 (Tue), 18:30,gb,모기지 승인건수 Sep,,,64.86K,중
10.29 (Tue), 18:30,gb,BOE 소비자 신용 Sep,,,&pound;1.295B,중
10.29 (Tue), 18:30,gb,M4 통화 공급량 (월간) Sep,,,-0.1%,하
10.29 (Tue), 18:30,gb,개인대출 순여신액 (전월비) Sep,,,&pound;4.2B,하
10.29 (Tue), 18:30,gb,주택담보대출금액 Sep,,,&pound;2.86B,중
10.29 (Tue), 14:00,kr,20년 국고채 경매 ,,,2.975%,하
10.29 (Tue), 04:00,us,국채 재투자 자금 추정 ,,,,하
10.29 (Tue), 02:00,us,5년 만기 국채 입찰 ,,,,하
10.29 (Tue), 02:00,us,2년 만기 국채 입찰 ,,,3.520%,하
10.29 (Tue), 00:30,us,3개월 만기 국채 입찰 ,,,,하
10.29 (Tue), 00:30,us,6개월 만기 국채 입찰 ,,,,하
10.28 (Mon), 23:30,us,댈러스 연은 제조업 활동 지수 Oct,,,-9,중
10.28 (Mon), 14:00,kr,5년 국고채 경매 ,,,2.855%,하
10.27 (Sun), 10:30,cn,산업이익 (YTD) (전년비) Sep,,,0.5%,하
10.26 (Sat), 02:00,us,베이커 휴즈 전체 시추기 가동건수 Oct/25,,,,하
10.26 (Sat), 02:00,us,베이커 휴즈 원유 시추기 가동건수 Oct/25,,,,하
10.25 (Fri), 23:00,us,미시간대 소비자 기대지수 최종 Oct,,72.9,74.4,하
10.25 (Fri), 23:00,us,미시건대 기대 인플레이션 최종 Oct,,2.9%,2.7%,하
10.25 (Fri), 23:00,us,미시건대 소비자 심리지수 최종 Oct,,68.9,70.1,중
10.25 (Fri), 23:00,us,미시건대 경제현황 지수 최종 Oct,,62.7,63.3,하
10.25 (Fri), 23:00,us,미시간대 5년 기대 인플레이션 최종 Oct,,3%,3.1%,하
10.25 (Fri), 21:30,us,비국방재 주문 (항공기제외) (전월비) Sep,,,0.2%,하
10.25 (Fri), 21:30,us,내구재 주문 (전월비) Sep,,,0.0%,상
10.25 (Fri), 21:30,us,비운송 내구재 주문 (전월비) Sep,,,,중
10.25 (Fri), 21:30,us,비국방 내구재 주문 (전월비) Sep,,,-0.2%,하
10.25 (Fri), 19:00,gb,CBI 유통업 지수 Oct,,,,중
10.25 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Oct,,,,중
10.25 (Fri), 05:30,us,연준 대차대조표 Oct/23,,,,하
10.25 (Fri), 02:00,us,5년 만기 TIPS 입찰 ,,,2.050%,하
10.25 (Fri), 01:00,us,15년 만기 모기지 금리 Oct/23,,,,하
10.25 (Fri), 01:00,us,30년 만기 모기지 금리 Oct/23,,,,하
10.25 (Fri), 00:30,us,4주 만기 국채 입찰 ,,,,하
10.25 (Fri), 00:30,us,8주 만기 국채 입찰 ,,,,하
10.25 (Fri), 00:00,us,켄자스 연은 제조업 지수 Oct,,,-18,하
10.25 (Fri), 00:00,us,캔자스 연은 종합 지수 Oct,,,-8,하
10.24 (Thu), 23:30,us,EIA 천연가스재고량 변화 Oct/18,,,,하
10.24 (Thu), 23:00,us,신규주택판매건수 Sep,,,0.716M,중
10.24 (Thu), 23:00,us,신규주택판매건수 (전월비) Sep,,,-4.7%,중
10.24 (Thu), 22:45,us,Fed Hammack 연설 ,,,,중
10.24 (Thu), 22:45,us,S&P글로벌 제조업 구매관리자지수(PMI) 잠정치 Oct,,,47.3,중
10.24 (Thu), 22:45,us,S&P글로벌 서비스업 구매관리자지수(PMI) 잠정치 Oct,,,55.2,중
10.24 (Thu), 22:45,us,S&P글로벌 종합 구매관리자지수(PMI) 잠정치 Oct,,,54,중
10.24 (Thu), 21:30,us,시카고 연은 국가활동지수 Sep,,,0.12,중
10.24 (Thu), 21:30,us,신규 실업수당 신청건수 Oct/19,,,,중
10.24 (Thu), 21:30,us,실업수당 청구건수 4주 평균 Oct/19,,,,하
10.24 (Thu), 21:30,us,계속 실업수당 청구건수 Oct/12,,,,하
10.24 (Thu), 21:00,us,건축 허가 최종 (전월비) Sep,,,4.6%,하
10.24 (Thu), 21:00,us,건축 허가 최종 Sep,,,1.470M,하
10.24 (Thu), 19:00,gb,CBI 기업낙관지수 Q4,,,-9,중
10.24 (Thu), 19:00,gb,CBI 산업수주동향 Oct,,,-35,중
10.24 (Thu), 17:30,gb,S&P 글로벌 종합 PMI 플래시 Oct,,,52.6,중
10.24 (Thu), 17:30,gb,노동 생산성 최종(전분기비) Q2,,,,하
10.24 (Thu), 17:30,gb,S&P 글로벌 제조업 PMI 플래시 Oct,,,51.5,중
10.24 (Thu), 17:30,gb,S&P 글로벌 서비스 PMI 플래시 Oct,,,52.4,중
10.24 (Thu), 08:01,gb,자동차 생산 (전년비) Sep,,,,하
10.24 (Thu), 08:00,kr,GDP 성장률 속보치 (전분기비) Q3,,,,중
10.24 (Thu), 08:00,kr,경제성장률(YoY) 추정 Q3,,,,중
10.24 (Thu), 06:00,kr,기업신뢰지수 Oct,,,69,중
10.24 (Thu), 03:00,us,베이지북 ,,,,하
10.24 (Thu), 02:00,us,20년 만기 국채 입찰 ,,,,하
10.24 (Thu), 00:30,us,17주 만기 국채 입찰 ,,,,하
10.23 (Wed), 23:30,us,EIA 증류유 재고 변동 Oct/18,,,,하
10.23 (Wed), 23:30,us,EIA 가솔린 생산량 변동 Oct/18,,,,하
10.23 (Wed), 23:30,us,EIA 난방유 재고 변동 Oct/18,,,,하
10.23 (Wed), 23:30,us,EIA 정제소 원유 가동량 변동 Oct/18,,,,하
10.23 (Wed), 23:30,us,EIA 원유 재고 변동 Oct/18,,,,중
10.23 (Wed), 23:30,us,EIA 원유 수입량 변동 Oct/18,,,,하
10.23 (Wed), 23:30,us,EIA 증류유 생산량 변동 Oct/18,,,,하
10.23 (Wed), 23:30,us,EIA 쿠싱 원유 재고량 변동 Oct/18,,,,하
10.23 (Wed), 23:30,us,EIA 가솔린 재고 변동 Oct/18,,,,중
10.23 (Wed), 23:00,us,기존주택판매 Sep,,,,중
10.23 (Wed), 23:00,us,기존주택판매 (전월비) Sep,,,-2.5%,중
10.23 (Wed), 20:00,us,MBA 모기지 신청건수 (전주비) Oct/18,,,,하
10.23 (Wed), 20:00,us,MBA 30년 모기지 금리 Oct/18,,,,하
10.23 (Wed), 20:00,us,MBA 모기지 재융자 지수 Oct/18,,,,하
10.23 (Wed), 20:00,us,MBA 구매 지수 Oct/18,,,,하
10.23 (Wed), 20:00,us,MBA 모기지 시장 지수 Oct/18,,,,하
10.23 (Wed), 18:00,gb,3년 만기 국채 입찰 ,,,4.068%,하
10.23 (Wed), 06:00,kr,소비자 신뢰지수 Oct,,,100,중
10.23 (Wed), 05:30,us,API 원유 재고 변화 Oct/18,,,,중
10.23 (Wed), 02:00,us,화폐공급 Sep,,,$21.18T,하
10.22 (Tue), 23:00,us,리치몬드 연준 서비스 수익 지수 Oct,,,-1,하
10.22 (Tue), 23:00,us,리치몬드 연준 제조업 지수 Oct,,,-21,하
10.22 (Tue), 23:00,us,리치몬드 연은 제조업 출하 지수 Oct,,,,하
10.22 (Tue), 21:55,us,Redbook 지수(전년비) Oct/19,,,,하
10.22 (Tue), 18:00,gb,20년 만기 인덱스 링크 국채 경매 ,,,1.200%,하
10.22 (Tue), 15:00,gb,공공부문 순채무액 (은행 제외) Sep,,,&pound;-13.73B,하
10.22 (Tue), 15:00,gb,공공부문 순채무액 Sep,,,&pound;-13.73B,하
10.22 (Tue), 06:05,us,Fed 슈미트 연설 ,,,,중
10.22 (Tue), 06:00,kr,생산자 물가지수(PPI) (전년비) Sep,,,,하
10.22 (Tue), 06:00,kr,생산자 물가지수(PPI) (전월비) Sep,,,-0.1%,하
10.22 (Tue), 02:00,us,연준 Kaskhari 성명 ,,,,중
10.22 (Tue), 00:30,us,3개월 만기 국채 입찰 ,,,,하
10.22 (Tue), 00:30,us,6개월 만기 국채 입찰 ,,,,하
10.21 (Mon), 23:00,us,컨퍼런스보드 경기선행지수 (전월비) Sep,,,,하
10.21 (Mon), 14:00,kr,10년 만기 KTB 경매 ,,,3%,하
10.21 (Mon), 10:15,cn,5년 만기 대출 우대 금리 Oct,,,3.85%,중
10.21 (Mon), 10:15,cn,1년 만기 대출 우대 금리 ,,,3.35%,중
10.20 (Sun), 17:40,cn,외국인 직접 투자 (YTD) (전년비) Sept,,,-31.5%,중
10.19 (Sat), 02:00,us,베이커 휴즈 전체 시추기 가동건수 Oct/18,,,586,하
10.19 (Sat), 02:00,us,베이커 휴즈 원유 시추기 가동건수 Oct/18,,,481,하
10.19 (Sat), 01:30,us,Fed Bostic 연설 ,,,,중
10.19 (Sat), 01:10,us,연준 월러 연설 ,,,,중
10.18 (Fri), 23:00,us,연준 Kaskhari 성명 ,,,,중
10.18 (Fri), 22:30,us,Fed Bostic 연설 ,,,,중
10.18 (Fri), 21:30,us,주택착공건수 (전월비) Sep,,,9.6%,중
10.18 (Fri), 21:30,us,건축 허가 잠정치 Sep,,1.46M,1.470M,상
10.18 (Fri), 21:30,us,건축 허가 잠정치 (전월비) Sep,,,4.6%,중
10.18 (Fri), 21:30,us,주택착공건수 Sep,,1.36M,1.356M,중
10.18 (Fri), 15:00,gb,소매 판매 (전월비) Sep,,-0.3%,1%,상
10.18 (Fri), 15:00,gb,소매 판매 (전년비) Sep,,,2.5%,중
10.18 (Fri), 15:00,gb,소매 판매(유류 제외) (전년비) Sep,,,2.3%,하
10.18 (Fri), 15:00,gb,소매 판매(유류 제외) (전월비) Sep,,,1.1%,중
10.18 (Fri), 14:00,kr,50년 만기 국채 경매 ,,,2.77%,하
10.18 (Fri), 11:00,cn,NBS 기자 회견 ,,,,하
10.18 (Fri), 11:00,cn,설비 가동률 Q3,,,74.9%,하
10.18 (Fri), 11:00,cn,GDP 성장률 (전분기비) Q3,,,0.7%,중
10.18 (Fri), 11:00,cn,GDP 성장률 (전년비) Q3,,4.6%,4.7%,상
10.18 (Fri), 11:00,cn,연간 소매 판매 Sep,,2.4%,2.1%,상
10.18 (Fri), 11:00,cn,산업생산 (전년비) Sep,,4.6%,4.5%,상
10.18 (Fri), 11:00,cn,고정 자산 투자 (YTD) (전년비) Sep,,3.3%,3.4%,중
10.18 (Fri), 11:00,cn,실업률 Sep,,5.3%,5.3%,중
10.18 (Fri), 10:30,cn,주택가격지수 (전년비) Sep,,,-5.3%,중
10.18 (Fri), 05:30,us,연준 대차대조표 Oct/16,,,$7.05T,하
10.18 (Fri), 05:00,us,외국인 채권 투자액 Aug,,,$55.9B,하
10.18 (Fri), 05:00,gb,BoE Woods 연설 ,,,,하
10.18 (Fri), 05:00,us,총 순자본 유출입 Aug,,,$156.5B,하
10.18 (Fri), 05:00,us,국제자본유출입 장기순거래 Aug,,,$135.4B,중
10.18 (Fri), 01:00,us,15년 만기 모기지 금리 Oct/16,,,5.41%,하
10.18 (Fri), 01:00,us,30년 만기 모기지 금리 Oct/16,,,6.32%,하
10.18 (Fri), 00:30,us,4주 만기 국채 입찰 ,,,4.750%,하
10.18 (Fri), 00:30,us,8주 만기 국채 입찰 ,,,4.640%,하
10.18 (Fri), 00:00,us,Fed Goolsbee 연설 ,,,,중
10.18 (Fri), 00:00,us,EIA 가솔린 생산량 변동 Oct/11,,,0.627M,하
10.18 (Fri), 00:00,us,EIA 난방유 재고 변동 Oct/11,,,0.497M,하
10.18 (Fri), 00:00,us,EIA 정제소 원유 가동량 변동 Oct/11,,,-0.101M,하
10.18 (Fri), 00:00,us,EIA 원유 수입량 변동 Oct/11,,,-0.305M,하
10.18 (Fri), 00:00,us,EIA 원유 재고 변동 Oct/11,,,5.810M,중
10.18 (Fri), 00:00,us,EIA 쿠싱 원유 재고량 변동 Oct/11,,,1.247M,하
10.18 (Fri), 00:00,us,EIA 증류유 생산량 변동 Oct/11,,,0.194M,하
10.18 (Fri), 00:00,us,EIA 증류유 재고 변동 Oct/11,,,-3.124M,하
10.18 (Fri), 00:00,us,EIA 가솔린 재고 변동 Oct/11,,,-6.304M,중
10.17 (Thu), 23:30,us,EIA 천연가스재고량 변화 Oct/11,,,82Bcf,하
10.17 (Thu), 23:00,us,소매 재고(자동차 제외) (전월비) Aug,,0.4%,0.5%,하
10.17 (Thu), 23:00,us,NAHB 주택시장지수 Oct,,43,41,중
10.17 (Thu), 23:00,us,기업 재고 (전월비) Aug,,0.3%,0.4%,중
10.17 (Thu), 22:15,us,산업생산 (전월비) Sep,,-0.1%,0.8%,중
10.17 (Thu), 22:15,us,산업생산 (YOY) Sep,,,0%,하
10.17 (Thu), 22:15,us,제조업 생산 (전년비) Sep,,,0.2%,하
10.17 (Thu), 22:15,us,설비 가동률 Sep,,77.8%,78%,하
10.17 (Thu), 22:15,us,제조업 생산량 (전월비) Sep,,,0.9%,하
10.17 (Thu), 21:30,us,필라델피아 연은 고용 지수 Oct,,,10.7,하
10.17 (Thu), 21:30,us,필라델피아 연은 자본적지출 지수 Oct,,,25,하
10.17 (Thu), 21:30,us,필라델피아 연은 제조업 지수 Oct,,3,1.7,중
10.17 (Thu), 21:30,us,필라델피아 연은 경기 지수 Oct,,,15.8,하
10.17 (Thu), 21:30,us,소매 판매(가스/자동차 제외) (전월비) Sep,,,0.2%,하
10.17 (Thu), 21:30,us,소매 판매 (전년비) Sep,,,2.1%,하
10.17 (Thu), 21:30,us,소매 판매 (자동차 제외) (전월비) Sep,,0.1%,0.1%,중
10.17 (Thu), 21:30,us,소매 판매 (전월비) Sep,,0.3%,0.1%,상
10.17 (Thu), 21:30,us,계속 실업수당 청구건수 Oct/05,,,1861K,하
10.17 (Thu), 21:30,us,실업수당 청구건수 4주 평균 Oct/12,,,231K,하
10.17 (Thu), 21:30,us,신규 실업수당 신청건수 Oct/12,,241K,258K,중
10.17 (Thu), 21:30,us,필라델피아 연은 지불가격 지수 Oct,,,34,하
10.17 (Thu), 21:30,us,필라델피아 연은 신규주문  지수 Oct,,,-1.5,하
10.17 (Thu), 05:30,us,API 원유 재고 변화 Oct/11,,,10.9M,중
10.17 (Thu), 00:30,us,17주 만기 국채 입찰 ,,,4.430%,하
10.16 (Wed), 21:30,us,수출물가지수 (전월비) Sep,,,-0.7%,중
10.16 (Wed), 21:30,us,수입물가지수 (전월비) Sep,,-0.3%,-0.3%,중
10.16 (Wed), 21:30,us,수출물가지수 (전년비) Sep,,,-0.7%,하
10.16 (Wed), 21:30,us,수입물가지수 (전년비) Sep,,,0.8%,하
10.16 (Wed), 20:00,us,MBA 30년 모기지 금리 Oct/11,,,6.36%,하
10.16 (Wed), 20:00,us,MBA 모기지 신청건수 (전주비) Oct/11,,,-5.1%,하
10.16 (Wed), 20:00,us,MBA 모기지 재융자 지수 Oct/11,,,997.3,하
10.16 (Wed), 20:00,us,MBA 구매 지수 Oct/11,,,149.2,하
10.16 (Wed), 20:00,us,MBA 모기지 시장 지수 Oct/11,,,277.5,하
10.16 (Wed), 18:00,gb,7년만기 국채 금채 경매 ,,,3.814%,하
10.16 (Wed), 15:00,gb,소매물가지수 (전월비) Sep,,,0.6%,하
10.16 (Wed), 15:00,gb,인플레이션율 (전년비) Sep,,1.9%,2.2%,상
10.16 (Wed), 15:00,gb,근원 인플레이션율 (전년비) Sep,,3.5%,3.6%,중
10.16 (Wed), 15:00,gb,인플레이션율 (전월비) Sep,,,0.3%,중
10.16 (Wed), 15:00,gb,산출 생산자물가지수(PPI) (전년비) Sep,,,0.2%,하
10.16 (Wed), 15:00,gb,투입 생산자물가지수(PPI) (전년비) Sep,,,-1.2%,하
10.16 (Wed), 15:00,gb,투입 생산자물가지수(PPI) (전월비) Sep,,-0.5%,-0.5%,하
10.16 (Wed), 15:00,gb,산출 생산자물가지수(PPI) (전월비) Sep,,-0.3%,-0.3%,하
10.16 (Wed), 15:00,gb,근원 산출 생산자물가지수(PPI) (전월비) Sep,,,0.1%,하
